Pabellón;Ambiente;Cantidad;Ancho (m);Largo (m);Área Unit. (m²);Área Total (m²)
Medio;Losa Deportiva;1.0;15.0;28.0;420.0;420.0
Medio;Taller EPT;1.0;7.5;12.0;90.0;90.0
Medio;SUM;1.0;16.0;10.8;172.5;172.5
Medio;Cocina Prim - Sec;1.0;7.5;4.9;36.4;36.4
Medio;Patio Inicial;1.0;7.5;20.0;150.0;150.0
Primaria;Aulas Primaria;6.0;7.5;5.333333333;40.0;240.0
Primaria;Biblioteca;1.0;7.5;12.5;93.75;93.75
Primaria;Aula de Innovacion Prim;1.0;7.5;12.0;90.0;90.0
Primaria;Taller creativo Prim;1.0;7.5;12.0;90.0;90.0
Primaria;Escalera Prim;1.0;7.5;2.5;8.64;8.64
Primaria;SSHH Prim - Hombres;1.0;7.5;2.0;12.5;12.5
Primaria;SSHH Prim - Mujeres;1.0;7.5;2.0;13.0;13.0
Admin;Direccion Adm.;1.0;5.0;1.3;6.5;6.5
Admin;Área de espera;1.0;5.0;3.0;15.0;15.0
Admin;Sala de Reuniones;1.0;5.0;7.2;36.0;36.0
Admin;Area de ingreso;1.0;5.0;3.6;18.0;18.0
Admin;Sala de Profesores;1.0;5.0;3.8;19.0;19.0
Admin;SSHH Adm. - Hombres;1.0;5.0;2.0;9.75;9.75
Admin;SSHH Adm. - Mujeres;1.0;5.0;2.0;9.75;9.75
